frame_index,path_id,path_local_index,x_mm,y_mm,z_mm,look_x_mm,look_y_mm,look_z_mm,edge_id,edge_t,radius_mm,estimated_clearance_mm
0,entry_to_pelvis,0,-3.9784874627864335,0.0,-101.27002013603666,-3.7939905815175696,0.09053934407379334,-99.00076963263574,edge_ureter_00,0.0,2.629709537291992,1.1297095372919919
1,entry_to_pelvis,1,-3.7939905815175696,0.09053934407379334,-99.00076963263574,-3.609493700248706,0.18107868814758668,-96.73151912923483,edge_ureter_00,0.125,2.625472259373071,1.1254722593730708
2,entry_to_pelvis,2,-3.609493700248706,0.18107868814758668,-96.73151912923483,-3.424996818979842,0.27161803222138003,-94.46226862583391,edge_ureter_00,0.25,2.621234981454149,1.121234981454149
3,entry_to_pelvis,3,-3.424996818979842,0.27161803222138003,-94.46226862583391,-3.240499937710978,0.36215737629517336,-92.19301812243299,edge_ureter_00,0.375,2.616997703535228,1.1169977035352279
4,entry_to_pelvis,4,-3.240499937710978,0.36215737629517336,-92.19301812243299,-3.0560030564421146,0.4526967203689667,-89.92376761903208,edge_ureter_00,0.5,2.6127604256163064,1.1127604256163064
5,entry_to_pelvis,5,-3.0560030564421146,0.4526967203689667,-89.92376761903208,-2.8715061751732502,0.5432360644427601,-87.65451711563117,edge_ureter_00,0.625,2.608523147697385,1.108523147697385
6,entry_to_pelvis,6,-2.8715061751732502,0.5432360644427601,-87.65451711563117,-2.687009293904387,0.6337754085165533,-85.38526661223025,edge_ureter_00,0.75,2.6042858697784634,1.1042858697784634
7,entry_to_pelvis,7,-2.687009293904387,0.6337754085165533,-85.38526661223025,-2.5783847025389526,1.0948666462917689,-80.84676560542842,edge_ureter_00,0.875,2.6000485918595415,1.1000485918595415
8,entry_to_pelvis,8,-2.5783847025389526,1.0948666462917689,-80.84676560542842,-2.654256992442382,1.4654185399931912,-78.57751510202749,edge_ureter_01,0.125,2.5847145855578013,1.0847145855578013
9,entry_to_pelvis,9,-2.654256992442382,1.4654185399931912,-78.57751510202749,-2.730129282345812,1.8359704336946132,-76.30826459862658,edge_ureter_01,0.25,2.573617857174982,1.0736178571749821
10,entry_to_pelvis,10,-2.730129282345812,1.8359704336946132,-76.30826459862658,-2.806001572249241,2.2065223273960357,-74.03901409522567,edge_ureter_01,0.375,2.562521128792163,1.062521128792163
11,entry_to_pelvis,11,-2.806001572249241,2.2065223273960357,-74.03901409522567,-2.8818738621526707,2.5770742210974578,-71.76976359182474,edge_ureter_01,0.5,2.551424400409344,1.0514244004093438
12,entry_to_pelvis,12,-2.8818738621526707,2.5770742210974578,-71.76976359182474,-2.957746152056101,2.94762611479888,-69.50051308842383,edge_ureter_01,0.625,2.5403276720265247,1.0403276720265247
13,entry_to_pelvis,13,-2.957746152056101,2.94762611479888,-69.50051308842383,-3.03361844195953,3.318178008500302,-67.2312625850229,edge_ureter_01,0.75,2.529230943643706,1.029230943643706
14,entry_to_pelvis,14,-3.03361844195953,3.318178008500302,-67.2312625850229,-3.4022086677842514,3.625495521757307,-62.692761578221074,edge_ureter_01,0.875,2.5181342152608863,1.0181342152608863
15,entry_to_pelvis,15,-3.4022086677842514,3.625495521757307,-62.692761578221074,-3.694926603705543,3.5622611413128893,-60.42351107482016,edge_ureter_02,0.125,2.5031637251948764,1.0031637251948764
16,entry_to_pelvis,16,-3.694926603705543,3.5622611413128893,-60.42351107482016,-3.9876445396268347,3.4990267608684724,-58.15426057141924,edge_ureter_02,0.25,2.4992899635116856,0.9992899635116856
17,entry_to_pelvis,17,-3.9876445396268347,3.4990267608684724,-58.15426057141924,-4.280362475548126,3.435792380424055,-55.88501006801833,edge_ureter_02,0.375,2.495416201828495,0.9954162018284949
18,entry_to_pelvis,18,-4.280362475548126,3.435792380424055,-55.88501006801833,-4.573080411469418,3.3725579999796373,-53.61575956461741,edge_ureter_02,0.5,2.4915424401453037,0.9915424401453037
19,entry_to_pelvis,19,-4.573080411469418,3.3725579999796373,-53.61575956461741,-4.86579834739071,3.3093236195352205,-51.346509061216494,edge_ureter_02,0.625,2.4876686784621125,0.9876686784621125
20,entry_to_pelvis,20,-4.86579834739071,3.3093236195352205,-51.346509061216494,-5.158516283312002,3.2460892390908027,-49.07725855781558,edge_ureter_02,0.75,2.4837949167789217,0.9837949167789217
21,entry_to_pelvis,21,-5.158516283312002,3.2460892390908027,-49.07725855781558,-5.505536541578858,3.060470773900571,-44.53875755101375,edge_ureter_02,0.875,2.479921155095731,0.979921155095731
22,entry_to_pelvis,22,-5.505536541578858,3.060470773900571,-44.53875755101375,-5.5598388639244245,2.9380866891547575,-42.26950704761283,edge_ureter_03,0.125,2.4902292778257644,0.9902292778257644
23,entry_to_pelvis,23,-5.5598388639244245,2.9380866891547575,-42.26950704761283,-5.61414118626999,2.8157026044089433,-40.000256544211915,edge_ureter_03,0.25,2.5044111622389895,1.0044111622389895
24,entry_to_pelvis,24,-5.61414118626999,2.8157026044089433,-40.000256544211915,-5.668443508615555,2.693318519663129,-37.731006040810996,edge_ureter_03,0.375,2.5185930466522137,1.0185930466522137
25,entry_to_pelvis,25,-5.668443508615555,2.693318519663129,-37.731006040810996,-5.72274583096112,2.570934434917315,-35.46175553741008,edge_ureter_03,0.5,2.532774931065439,1.0327749310654388
26,entry_to_pelvis,26,-5.72274583096112,2.570934434917315,-35.46175553741008,-5.777048153306685,2.4485503501715007,-33.192505034009166,edge_ureter_03,0.625,2.546956815478663,1.046956815478663
27,entry_to_pelvis,27,-5.777048153306685,2.4485503501715007,-33.192505034009166,-5.8313504756522505,2.326166265425687,-30.923254530608247,edge_ureter_03,0.75,2.561138699891888,1.0611386998918881
28,entry_to_pelvis,28,-5.8313504756522505,2.326166265425687,-30.923254530608247,-5.649946198248089,1.9283094080948886,-26.384753523806413,edge_ureter_03,0.875,2.575320584305113,1.0753205843051128
29,entry_to_pelvis,29,-5.649946198248089,1.9283094080948886,-26.384753523806413,-5.414239598498362,1.6528366355099045,-24.115503020405498,edge_ureter_04,0.125,2.6826998096923504,1.1826998096923504
30,entry_to_pelvis,30,-5.414239598498362,1.6528366355099045,-24.115503020405498,-5.178532998748635,1.3773638629249205,-21.84625251700458,edge_ureter_04,0.25,2.7758971506663634,1.2758971506663634
31,entry_to_pelvis,31,-5.178532998748635,1.3773638629249205,-21.84625251700458,-4.942826398998908,1.1018910903399364,-19.577002013603664,edge_ureter_04,0.375,2.869094491640376,1.369094491640376
32,entry_to_pelvis,32,-4.942826398998908,1.1018910903399364,-19.577002013603664,-4.707119799249181,0.8264183177549522,-17.30775151020275,edge_ureter_04,0.5,2.9622918326143894,1.4622918326143894
33,entry_to_pelvis,33,-4.707119799249181,0.8264183177549522,-17.30775151020275,-4.4714131994994535,0.5509455451699682,-15.038501006801832,edge_ureter_04,0.625,3.0554891735884024,1.5554891735884024
34,entry_to_pelvis,34,-4.4714131994994535,0.5509455451699682,-15.038501006801832,-4.235706599749727,0.2754727725849841,-12.769250503400915,edge_ureter_04,0.75,3.1486865145624154,1.6486865145624154
35,entry_to_pelvis,35,-4.235706599749727,0.2754727725849841,-12.769250503400915,-3.5,0.0,-9.1875,edge_ureter_04,0.875,3.241883855536428,1.741883855536428
36,entry_to_pelvis,36,-3.5,0.0,-9.1875,-3.0,0.0,-7.875,edge_upj_pelvis,0.125,3.4681960469466357,1.9681960469466357
37,entry_to_pelvis,37,-3.0,0.0,-7.875,-2.5,0.0,-6.5625,edge_upj_pelvis,0.25,3.601310897382831,2.101310897382831
38,entry_to_pelvis,38,-2.5,0.0,-6.5625,-2.0,0.0,-5.25,edge_upj_pelvis,0.375,3.734425747819026,2.234425747819026
39,entry_to_pelvis,39,-2.0,0.0,-5.25,-1.5,0.0,-3.9375,edge_upj_pelvis,0.5,3.8675405982552205,2.3675405982552205
40,entry_to_pelvis,40,-1.5,0.0,-3.9375,-1.0,0.0,-2.625,edge_upj_pelvis,0.625,4.000655448691416,2.5006554486914156
41,entry_to_pelvis,41,-1.0,0.0,-2.625,-0.5,0.0,-1.3125,edge_upj_pelvis,0.75,4.133770299127611,2.633770299127611
42,entry_to_pelvis,42,-0.5,0.0,-1.3125,0.0,0.0,0.0,edge_upj_pelvis,0.875,4.266885149563806,2.766885149563806
43,entry_to_pelvis,43,0.0,0.0,0.0,0.5,0.0,1.3125,edge_upj_pelvis,1.0,4.4,2.9000000000000004
44,entry_to_lower_access_trunk,0,-3.9784874627864335,0.0,-101.27002013603666,-3.7939905815175696,0.09053934407379334,-99.00076963263574,edge_ureter_00,0.0,2.629709537291992,1.1297095372919919
45,entry_to_lower_access_trunk,1,-3.7939905815175696,0.09053934407379334,-99.00076963263574,-3.609493700248706,0.18107868814758668,-96.73151912923483,edge_ureter_00,0.125,2.625472259373071,1.1254722593730708
46,entry_to_lower_access_trunk,2,-3.609493700248706,0.18107868814758668,-96.73151912923483,-3.424996818979842,0.27161803222138003,-94.46226862583391,edge_ureter_00,0.25,2.621234981454149,1.121234981454149
47,entry_to_lower_access_trunk,3,-3.424996818979842,0.27161803222138003,-94.46226862583391,-3.240499937710978,0.36215737629517336,-92.19301812243299,edge_ureter_00,0.375,2.616997703535228,1.1169977035352279
48,entry_to_lower_access_trunk,4,-3.240499937710978,0.36215737629517336,-92.19301812243299,-3.0560030564421146,0.4526967203689667,-89.92376761903208,edge_ureter_00,0.5,2.6127604256163064,1.1127604256163064
49,entry_to_lower_access_trunk,5,-3.0560030564421146,0.4526967203689667,-89.92376761903208,-2.8715061751732502,0.5432360644427601,-87.65451711563117,edge_ureter_00,0.625,2.608523147697385,1.108523147697385
50,entry_to_lower_access_trunk,6,-2.8715061751732502,0.5432360644427601,-87.65451711563117,-2.687009293904387,0.6337754085165533,-85.38526661223025,edge_ureter_00,0.75,2.6042858697784634,1.1042858697784634
51,entry_to_lower_access_trunk,7,-2.687009293904387,0.6337754085165533,-85.38526661223025,-2.5783847025389526,1.0948666462917689,-80.84676560542842,edge_ureter_00,0.875,2.6000485918595415,1.1000485918595415
52,entry_to_lower_access_trunk,8,-2.5783847025389526,1.0948666462917689,-80.84676560542842,-2.654256992442382,1.4654185399931912,-78.57751510202749,edge_ureter_01,0.125,2.5847145855578013,1.0847145855578013
53,entry_to_lower_access_trunk,9,-2.654256992442382,1.4654185399931912,-78.57751510202749,-2.730129282345812,1.8359704336946132,-76.30826459862658,edge_ureter_01,0.25,2.573617857174982,1.0736178571749821
54,entry_to_lower_access_trunk,10,-2.730129282345812,1.8359704336946132,-76.30826459862658,-2.806001572249241,2.2065223273960357,-74.03901409522567,edge_ureter_01,0.375,2.562521128792163,1.062521128792163
55,entry_to_lower_access_trunk,11,-2.806001572249241,2.2065223273960357,-74.03901409522567,-2.8818738621526707,2.5770742210974578,-71.76976359182474,edge_ureter_01,0.5,2.551424400409344,1.0514244004093438
56,entry_to_lower_access_trunk,12,-2.8818738621526707,2.5770742210974578,-71.76976359182474,-2.957746152056101,2.94762611479888,-69.50051308842383,edge_ureter_01,0.625,2.5403276720265247,1.0403276720265247
57,entry_to_lower_access_trunk,13,-2.957746152056101,2.94762611479888,-69.50051308842383,-3.03361844195953,3.318178008500302,-67.2312625850229,edge_ureter_01,0.75,2.529230943643706,1.029230943643706
58,entry_to_lower_access_trunk,14,-3.03361844195953,3.318178008500302,-67.2312625850229,-3.4022086677842514,3.625495521757307,-62.692761578221074,edge_ureter_01,0.875,2.5181342152608863,1.0181342152608863
59,entry_to_lower_access_trunk,15,-3.4022086677842514,3.625495521757307,-62.692761578221074,-3.694926603705543,3.5622611413128893,-60.42351107482016,edge_ureter_02,0.125,2.5031637251948764,1.0031637251948764
60,entry_to_lower_access_trunk,16,-3.694926603705543,3.5622611413128893,-60.42351107482016,-3.9876445396268347,3.4990267608684724,-58.15426057141924,edge_ureter_02,0.25,2.4992899635116856,0.9992899635116856
61,entry_to_lower_access_trunk,17,-3.9876445396268347,3.4990267608684724,-58.15426057141924,-4.280362475548126,3.435792380424055,-55.88501006801833,edge_ureter_02,0.375,2.495416201828495,0.9954162018284949
62,entry_to_lower_access_trunk,18,-4.280362475548126,3.435792380424055,-55.88501006801833,-4.573080411469418,3.3725579999796373,-53.61575956461741,edge_ureter_02,0.5,2.4915424401453037,0.9915424401453037
63,entry_to_lower_access_trunk,19,-4.573080411469418,3.3725579999796373,-53.61575956461741,-4.86579834739071,3.3093236195352205,-51.346509061216494,edge_ureter_02,0.625,2.4876686784621125,0.9876686784621125
64,entry_to_lower_access_trunk,20,-4.86579834739071,3.3093236195352205,-51.346509061216494,-5.158516283312002,3.2460892390908027,-49.07725855781558,edge_ureter_02,0.75,2.4837949167789217,0.9837949167789217
65,entry_to_lower_access_trunk,21,-5.158516283312002,3.2460892390908027,-49.07725855781558,-5.505536541578858,3.060470773900571,-44.53875755101375,edge_ureter_02,0.875,2.479921155095731,0.979921155095731
66,entry_to_lower_access_trunk,22,-5.505536541578858,3.060470773900571,-44.53875755101375,-5.5598388639244245,2.9380866891547575,-42.26950704761283,edge_ureter_03,0.125,2.4902292778257644,0.9902292778257644
67,entry_to_lower_access_trunk,23,-5.5598388639244245,2.9380866891547575,-42.26950704761283,-5.61414118626999,2.8157026044089433,-40.000256544211915,edge_ureter_03,0.25,2.5044111622389895,1.0044111622389895
68,entry_to_lower_access_trunk,24,-5.61414118626999,2.8157026044089433,-40.000256544211915,-5.668443508615555,2.693318519663129,-37.731006040810996,edge_ureter_03,0.375,2.5185930466522137,1.0185930466522137
69,entry_to_lower_access_trunk,25,-5.668443508615555,2.693318519663129,-37.731006040810996,-5.72274583096112,2.570934434917315,-35.46175553741008,edge_ureter_03,0.5,2.532774931065439,1.0327749310654388
70,entry_to_lower_access_trunk,26,-5.72274583096112,2.570934434917315,-35.46175553741008,-5.777048153306685,2.4485503501715007,-33.192505034009166,edge_ureter_03,0.625,2.546956815478663,1.046956815478663
71,entry_to_lower_access_trunk,27,-5.777048153306685,2.4485503501715007,-33.192505034009166,-5.8313504756522505,2.326166265425687,-30.923254530608247,edge_ureter_03,0.75,2.561138699891888,1.0611386998918881
72,entry_to_lower_access_trunk,28,-5.8313504756522505,2.326166265425687,-30.923254530608247,-5.649946198248089,1.9283094080948886,-26.384753523806413,edge_ureter_03,0.875,2.575320584305113,1.0753205843051128
73,entry_to_lower_access_trunk,29,-5.649946198248089,1.9283094080948886,-26.384753523806413,-5.414239598498362,1.6528366355099045,-24.115503020405498,edge_ureter_04,0.125,2.6826998096923504,1.1826998096923504
74,entry_to_lower_access_trunk,30,-5.414239598498362,1.6528366355099045,-24.115503020405498,-5.178532998748635,1.3773638629249205,-21.84625251700458,edge_ureter_04,0.25,2.7758971506663634,1.2758971506663634
75,entry_to_lower_access_trunk,31,-5.178532998748635,1.3773638629249205,-21.84625251700458,-4.942826398998908,1.1018910903399364,-19.577002013603664,edge_ureter_04,0.375,2.869094491640376,1.369094491640376
76,entry_to_lower_access_trunk,32,-4.942826398998908,1.1018910903399364,-19.577002013603664,-4.707119799249181,0.8264183177549522,-17.30775151020275,edge_ureter_04,0.5,2.9622918326143894,1.4622918326143894
